Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
gem10,published,managed_by_android,false,zh-CN; 充值; 25颗钻石,false,US; 990000,
gem11,published,managed_by_android,false,zh-CN; 充值; 150颗钻石,false,US; 4990000,
gem12,published,managed_by_android,false,zh-CN; 充值; 325颗钻石 + 30分钟无限体力,false,US; 9990000,
gem13,published,managed_by_android,false,zh-CN; 充值; 850颗钻石 + 一个小时无限体力,false,US; 24990000,
gem14,published,managed_by_android,false,zh-CN; 充值; 1750颗钻石 + 一个小时无限体力,false,US; 49990000,
gem15,published,managed_by_android,false,zh-CN; 充值; 3600颗钻石 + 两个小时无限体力,false,US; 99990000,
pack1,published,managed_by_android,false,zh-CN; 充值; 25颗钻石 + 延续关卡30秒 x1 + 食物双倍价格 x1 + 无限耐心 x1,false,US; 1990000,
pack2,published,managed_by_android,false,zh-CN; 充值; 150颗钻石 + 额外3名顾客 x1 + 延续关卡30秒 x1 + 食物双倍价格 x1 + 稳定火力 x1 + 灭火器 x1 + 无限耐心 x1,false,US; 6990000,
pack3,published,managed_by_android,false,zh-CN; 充值; 300颗钻石 + 额外3名顾客 x2 + 延续关卡30秒 x2 + 食物双倍价格 x1 + 二次机会 x2 + 稳定火力 x1 + 灭火器 x1 + 无限耐心 x1,false,US; 12990000,
pack4,published,managed_by_android,false,zh-CN; 充值; 850颗钻石 + 额外3名顾客 x4 + 延续关卡30秒 x4 + 食物双倍价格 x4 + 二次机会 x4 + 稳定火力 x4 + 灭火器 x4 + 无限耐心 x4,false,US; 34990000,
starter_pack1,published,managed_by_android,false,zh-CN; 充值; 50颗钻石 + 额外3名顾客 x1 + 延续关卡30秒 x1 + 食物双倍价格 x1 + 无限体力1小时 + 稳定火力 x1 + 灭火器 x1 + 无限耐心 x1,false,US; 1990000,
starter_pack2,published,managed_by_android,false,zh-CN; 充值; 15颗钻石 + 额外3名顾客 x1 + 延续关卡30秒 x1 + 食物双倍价格 x1 + 无限体力1小时 + 稳定火力 x1 + 灭火器 x1 + 无限耐心 x1,false,US; 990000,
christmas_pack,published,managed_by_android,false,zh-CN; 充值; 200颗钻石 + 额外3名顾客 x2 + 延续关卡30秒 x2 + 二次机会 x2 + 无限体力2小时,false,US; 4990000,
